SrNo,ItemCode,ItemName,Pack,Manufacturer,HSN,GST%,MRP,PurchaseRate,SellingRate,ScheduleClass,BatchNo,ExpDate,Qty,Loc,Notes
369,VPH-00324,Loratadine 10mg,Tab,HIMALAYA,  30049099,12,73.45,48.34,71.62,,B6515B,17-Nov-2026,351,R4-S12,
370,VPH-00325,Moov Spray 50g,Spray,SUN PHARMA,  30049099,12,₹1598.15,916.21,1503.13,,B3721G,25/03/2028,583,R3-S1,"Pack: Spray, blister"
371,VPH-00326,Pantoprazole 40mg,Tab,CIPLA,30049099  ,12,941.23,586.29,931.57,,B5321H,10-Jan-2027,152,R7-S1,
372,VPH-00326,Pantoprazole 40mg,Tab,CIPLA,30049099  ,12,941.23,₹531.28,677.23,,B5043H,26.12.2026,432,R6-S10,
373,VPH-00327,Pudin Hara Pearls,Cap,cipla ,  30049099,12,1804.70,1318.31,1716.71,,B2727C,30/04/2028,470,R3-S8,
374,VPH-00328,ORS Sachet 21g,Sachet,Dr Reddys,30049099,5,1755.65,1162.56,Rs.1679.82,,B5593F,17/11/27,105,R6-S9,
375,VPH-00329,Atorvastatin 10mg,Tab,Pfizer,30049099,12,482.64,368.73,455.09,,B5726H,18/12/26,394,R7-S3,"Pack: Tab, blister"
376,VPH-00330,Cetirizine 10mg,Tab,ZYDUS,30049099  ,12,1316.57,779.74,1309.99,,B8067A,03-Nov-2026,581,R6-S10,
377,VPH-00330,Cetirizine 10mg,Tab,ZYDUS,30049099  ,12,1316.57,423.85,₹624.57,,B5872E,18/09/2027,169,R3-S11,
378,VPH-00331,Antacid Gel 170ml,Liquid,Cipla,30049099,12,1408.42,838.25,1338.36,,B5694B,24-Nov-2027,356,R5-S3,
379,VPH-00332,Amlodipine 5mg,Tab,Lupin,30049099,12,563.45,356.32,553.83,,B9921B,14/08/2027,38,R1-S4,"Pack: Tab, blister"
380,VPH-00333,Multivitamin Syrup 200ml,Syrup,Torrent Pharma,30049099  ,12,659.71,Rs.411.34,652.34,,B6974A,20/06/2025,317,R8-S1,
381,VPH-00334,Ranitidine 150mg,Tab,Sun Pharma Ltd,30049099,12,1652.82,Rs.1014.48,1643.41,,B4617G,20-Apr-2027,372,R7-S10,
382,VPH-00335,Cough Syrup 100ml,Syrup,Abbott,30049099,12,42.48,31.96,₹41.88,,B8807B,16.09.2027,551,R7-S12,
383,VPH-00336,Loratadine 10mg,Tab,HIMALAYA,30049099,12,1041.89,671.75,₹1041.20,,B1173G,13-Mar-2027,254,R2-S7,
384,VPH-00337,Calcium Carbonate 500mg,Tab,Dr Reddys,30049099,12,878.52,492.99,854.46,,B3749B,14/09/27,118,R4-S11,"Pack: Tab, blister"
385,VPH-00337,Calcium Carbonate 500mg,Tab,Dr Reddys,30049099,12,878.52,₹803.00,Rs.1220.99,,B8953D,11.11.2027,241,R3-S10,
386,VPH-00338,Iron Folic Acid,Tab,ABBOTT,30049099  ,12,694.61,401.58,660.67,,B9264G,01/06/26,301,R3-S2,
387,VPH-00338,Iron Folic Acid,Tab,ABBOTT,30049099  ,12,694.61,810.62,1338.61,,B5660C,08/11/2026,192,R1-S6,
388,VPH-00339,Omeprazole 20mg,Cap,TORRENT,30049099  ,12,845.49,640.37,780.06,,B8450F,29-Dec-2026,245,R8-S2,"Pack: Cap, blister"
389,VPH-00340,Folic Acid 5mg,Tab,Pfizer,30049099  ,12,755.25,529.43,726.53,,B4529C,22.03.2027,464,R8-S12,"Pack: Tab, blister"
390,VPH-00341,ORS Sachet 21g,Sachet,Lupin,30049099,5,1107.87,₹675.88,₹1064.79,,B2014H,27-Dec-2027,504,R7-S10,
391,VPH-00342,Atorvastatin 10mg टॅब,Tab,TORRENT,30049099,12,1579.19,1038.96,1460.53,,B8660E,02.09.2025,112,R3-S4,
392,VPH-00343,Telmisartan 40mg,Tab,MANKIND,30049099,12,₹802.53,623.37,₹782.34,,B8014A,18/05/2026,460,R5-S8,
393,VPH-00344,Multivitamin Syrup 200ml,Syrup,Macleods,30049099,12,1633.34,Rs.981.70,1514.58,,B4916C,11/06/26,424,R2-S12,
394,VPH-00344,Multivitamin Syrup 200ml,Syrup,Macleods,30049099,12,1633.34,373.11,485.39,,B8898A,25/10/2026,446,R4-S7,
395,VPH-00345,Aspirin 75mg,Tab,GlaxoSmithKline,30049099,12,1636.45,900.69,1536.62,,B5978D,01-Dec-2027,325,R1-S6,
396,VPH-00346,Multivitamin Syrup 200ml,Syrup,ABBOTT,30049099  ,12,1765.78,1349.68,1644.15,,B1567C,13.10.2026,582,R1-S7,
397,VPH-00347,Glucose D 100g,Sachet,Sun Pharma,21069099,18,590.49,368.28,563.18,,B7355C,11/08/2026,385,R6-S9,
398,VPH-00347,Glucose D 100g,Sachet,Sun Pharma,21069099,18,590.49,₹1178.64,1751.89,,B2978H,18/03/2028,303,R7-S10,
399,VPH-00348,Multivitamin Syrup 200ml,Syrup,Torrent,30049099,12,329.87,229.68,₹308.69,,B2366A,01-Apr-2028,176,R2-S8,
400,VPH-00348,Multivitamin Syrup 200ml,Syrup,Torrent,30049099,12,329.87,834.37,1105.97,,B1325D,30/07/27,503,R3-S11,
401,VPH-00349,Cetirizine 10mg,Tab,ABBOTT,30049099,12,1540.58,910.95,1445.82,,B5812E,13-Aug-2026,350,R5-S10,
402,VPH-00350,Amlodipine 5mg,Tab,Himalaya Drug Co,30049099,12,Rs.223.51,Rs.132.05,206.81,,B3877D,05/01/26,198,R3-S9,
403,VPH-00350,Amlodipine 5mg,Tab,Himalaya Drug Co,30049099,12,Rs.223.51,31.41,45.82,,B9123D,03/05/2027,82,R1-S8,
404,VPH-00351,Atorvastatin 10mg,Tab,Macleods,30049099,12,626.86,413.85,590.56,,B2067A,09.04.2028,315,R3-S3,
405,VPH-00352,Vitamin D3 60K,Sachet,Dr Reddy's,30049099,12,229.15,150.62,221.79,,B3806B,31-Jan-2027,165,R5-S8,
406,VPH-00353,Amlodipine 5mg,Tab,Alkem,30049099  ,12,678.15,470.21,654.77,,B7707E,10-Feb-2027,141,R5-S2,
407,VPH-00354,ORS Sachet 21g,Sachet,ABBOTT,30049099,5,46.31,31.13,42.68,,B4762A,16-Apr-2027,327,R2-S5,
408,VPH-00355,Cetirizine 10mg,Tab,DR REDDYS,30049099,12,1046.86,588.70,964.69,,B2262E,08-May-2027,161,R5-S12,
409,VPH-00356,Ondansetron 4mg,Tab,MACLEODS,30049099,12,₹1516.35,940.66,1409.04,,B1824B,19/04/2027,174,R7-S8,
410,VPH-00357,Ibuprofen 400mg,Tab,Zydus,30049099,12,1245.55,951.68,1195.93,,B1589G,18/05/2026,441,R4-S7,
411,VPH-00358,Glimepiride 1mg,Tab,Himalaya,30049099,12,874.91,₹676.60,Rs.825.21,,B3193F,22/02/2028,215,R5-S2,
412,VPH-00359,Ondansetron 4mg टॅब,Tab,Torrent Pharma,30049099  ,12,514.17,285.94,480.05,,B4608D,25/06/2027,399,R1-S3,
413,VPH-00360,Multivitamin Syrup 200ml टॅब,Syrup,GLENMARK,  30049099,12,1080.81,771.73,Rs.1063.12,,B2352B,13/04/2027,247,R5-S4,
414,VPH-00361,Cetirizine 10mg,Tab,HIMALAYA,30049099,12,₹984.01,736.04,₹962.19,,B7876H,04.09.2026,486,R8-S11,
415,VPH-00361,Cetirizine 10mg,Tab,HIMALAYA,30049099,12,₹984.01,717.93,1031.10,,B2419D,13/05/2027,391,R4-S3,
416,VPH-00362,Loratadine 10mg,Tab,Himalaya Drug Co,30049099,12,₹1512.76,1118.68,1430.88,,B8523A,20.03.2028,84,R3-S8,
417,VPH-00363,Iron Folic Acid,Tab,Mankind Pharma,30049099,12,1638.41,1253.43,1569.77,,B6630F,14-Feb-2027,549,R5-S3,
418,VPH-00364,Calcium Carbonate 500mg,Tab,Torrent,30049099,12,715.73,527.53,660.62,,B5978E,20/10/2027,575,R8-S6,"Pack: Tab, blister"
419,VPH-00365,Omeprazole 20mg,Cap,Pfizer,30049099,12,1117.05,₹809.73,Rs.1040.68,,B2617G,13-Jul-2026,318,R4-S7,
420,VPH-00366,Glimepiride 1mg,Tab,PFIZER,  30049099,12,₹464.91,350.44,₹454.23,,B8766C,19-May-2026,419,R8-S6,
421,VPH-00367,Antacid Gel 170ml,Liquid,Macleods,  30049099,12,537.33,407.23,527.00,,B9989H,23.03.2027,531,R3-S6,"Pack: Liquid, blister"
422,VPH-00368,Loratadine 10mg,Tab,ABBOTT,30049099,12,749.30,527.42,748.27,,B6264B,04/03/28,336,R2-S9,
423,VPH-00369,Glimepiride 1mg,Tab,SANOFI,  30049099,12,1509.43,969.13,1443.44,,B4495B,24-Oct-2026,111,R4-S2,"Pack: Tab, blister"
424,VPH-00370,Omeprazole 20mg,Cap,Cipla Ltd,30049099,12,1285.46,714.87,1272.14,,B3131C,07/05/28,464,R4-S4,
425,VPH-00371,Omeprazole 20mg,Cap,Torrent,30049099,12,1697.96,Rs.998.90,1684.16,,B1191B,03.12.2025,29,R5-S12,
426,VPH-00372,Aspirin 75mg,Tab,Sanofi,30049099  ,12,₹554.97,₹389.76,549.47,,B7713G,31/12/26,77,R2-S3,
427,VPH-00373,Loratadine 10mg टॅब,Tab,SUN PHARMA,30049099,12,1382.78,1048.28,1361.74,,B7701F,10/01/2028,207,R5-S7,
428,VPH-00374,Omeprazole 20mg,Cap,ABBOTT,30049099,12,1684.56,965.44,₹1590.33,,B9542C,31-Oct-2026,30,R6-S11,
429,VPH-00375,Ranitidine 150mg,Tab,Torrent Pharma,30049099,12,35.34,19.75,34.86,,B7789E,23.06.2026,576,R2-S2,"Pack: Tab, blister"
430,VPH-00375,Ranitidine 150mg,Tab,Torrent Pharma,30049099,12,35.34,1193.30,1608.47,,B3789H,20/10/2027,315,R2-S4,"Pack: Tab, blister"
431,VPH-00376,Glucose D 100g,Sachet,Abbott,21069099,18,1786.69,1027.34,1720.25,,B9355B,29/03/2028,571,R3-S11,
432,VPH-00377,Telmisartan 40mg,Tab,Glenmark Pharma,30049099,12,Rs.1598.49,1226.19,1494.37,,B2499E,21-Dec-2027,78,R8-S8,"Pack: Tab, blister"
433,VPH-00378,Metformin 500mg,Tab,Pfizer India,  30049099,12,1133.11,₹687.26,1049.00,,B3043H,15/12/2026,386,R2-S12,
434,VPH-00379,Ibuprofen 400mg,Tab,Lupin Ltd,30049099,12,1363.98,963.99,₹1273.56,,B8789E,09.11.2026,316,R4-S1,
435,VPH-00379,Ibuprofen 400mg,Tab,Lupin Ltd,30049099,12,1363.98,850.13,Rs.1288.48,,B9465B,28/11/2026,170,R3-S9,
436,VPH-00380,Vitamin B12 1500mcg,Tab,Alkem,  30049099,12,₹822.72,468.69,800.31,,B4914H,18/01/27,577,R5-S1,"Pack: Tab, blister"
437,VPH-00381,Calcium Carbonate 500mg,Tab,Macleods Pharma,30049099,12,1278.88,₹914.64,1186.45,,B7409B,01.09.2027,441,R1-S8,
438,VPH-00382,Folic Acid 5mg टॅब,Tab,Sun Pharma,30049099,12,301.10,Rs.193.31,294.88,,B2580G,29-Apr-2028,167,R2-S4,
439,VPH-00383,Cough Syrup 100ml,Syrup,Lupin Ltd,30049099,12,140.70,96.06,132.89,,B5194B,31/03/2027,450,R8-S4,
440,VPH-00384,Omeprazole 20mg,Cap,Himalaya,30049099,12,1231.17,₹937.31,₹1149.19,,B7030C,27/02/2027,225,R4-S2,"Pack: Cap, blister"
441,VPH-00385,Multivitamin Syrup 200ml,Syrup,SUN PHARMA,30049099,12,1025.13,716.39,955.41,,B6062B,22.01.2028,101,R8-S7,
442,VPH-00386,Ondansetron 4mg,Tab,Torrent,30049099,12,145.47,112.43,₹139.80,,B3732G,01/07/2027,227,R2-S9,
443,VPH-00387,ORS Sachet 21g,Sachet,cipla ,30049099,5,563.14,415.88,547.56,,B3686E,01/12/26,432,R5-S3,
444,VPH-00388,ORS Sachet 21g,Sachet,Himalaya Drug Co,30049099,5,176.72,119.54,₹176.60,,B6002H,13.05.2027,69,R5-S12,
445,VPH-00388,ORS Sachet 21g,Sachet,Himalaya Drug Co,30049099,5,176.72,15.83,24.55,,B5684B,11.06.2027,278,R1-S6,
446,VPH-00389,Loratadine 10mg,Tab,MACLEODS,30049099,12,₹1028.52,612.13,986.29,,B9298H,15.11.2026,170,R4-S11,
447,VPH-00389,Loratadine 10mg,Tab,MACLEODS,30049099,12,₹1028.52,1218.00,₹1661.61,,B7454A,27-Jan-2027,538,R7-S10,
448,VPH-00390,Antacid Gel 170ml,Liquid,Glenmark,30049099,12,658.98,426.35,₹621.52,,B1350C,02/07/27,170,R8-S1,
449,VPH-00391,Atorvastatin 10mg,Tab,HIMALAYA,30049099  ,12,1253.57,840.98,1227.91,,B3631A,07.10.2026,552,R5-S5,
450,VPH-00392,Glimepiride 1mg,Tab,Zydus Cadila,30049099,12,331.22,248.16,321.37,,B2130A,20/01/2027,39,R4-S7,
451,VPH-00393,Cough Syrup 100ml,Syrup,Alkem Labs,30049099,12,Rs.1470.80,1052.30,1412.81,,B8808F,10/02/2028,92,R4-S9,
452,VPH-00394,Antacid Gel 170ml,Liquid,Pfizer,30049099  ,12,981.07,645.43,₹905.17,,B4033F,25.06.2026,42,R3-S1,
453,VPH-00395,Folic Acid 5mg,Tab,Pfizer India,30049099,12,₹1463.65,1021.54,1414.59,,B7570E,30.11.2027,54,R8-S10,
454,VPH-00396,Antacid Gel 170ml,Liquid,Glenmark,30049099,12,Rs.1532.14,897.78,1425.96,,B1745D,22-May-2026,260,R8-S4,
455,VPH-00397,ORS Sachet 21g,Sachet,Himalaya Drug Co,30049099  ,5,1275.66,839.40,1228.61,,B9351A,19/04/2027,88,R2-S8,
456,VPH-00397,ORS Sachet 21g,Sachet,Himalaya Drug Co,30049099  ,5,1275.66,240.39,384.80,,B3651B,15-Aug-2027,92,R1-S12,
457,VPH-00398,Vitamin D3 60K,Sachet,Zydus Cadila,30049099,12,612.76,455.62,566.79,,B6955C,22-May-2027,222,R4-S9,
458,VPH-00398,Vitamin D3 60K,Sachet,Zydus Cadila,30049099,12,612.76,Rs.59.81,76.02,,B5998G,18-Aug-2026,23,R8-S6,
459,VPH-00399,Pantoprazole 40mg,Tab,HIMALAYA,30049099,12,427.68,252.05,397.72,,B2661D,11/09/27,522,R6-S4,
460,VPH-00400,Aspirin 75mg,Tab,Abbott India,30049099  ,12,1783.23,1260.65,₹1768.00,,B6541E,12/01/28,176,R5-S6,
461,VPH-00401,Antacid Gel 170ml,Liquid,Alkem Labs,30049099,12,542.71,₹395.20,₹533.36,,B4267D,15-Jul-2026,36,R1-S1,"Pack: Liquid, blister"
462,VPH-00402,Folic Acid 5mg,Tab,Lupin,30049099,12,₹193.56,108.60,Rs.184.72,,B6368G,24/10/2027,40,R4-S2,
463,VPH-00403,Cough Syrup 100ml,Syrup,GSK Pharma,30049099  ,12,194.57,147.62,185.54,,B7073H,12/10/2027,523,R5-S4,
464,VPH-00404,Iron Folic Acid,Tab,CIPLA,30049099,12,446.17,344.71,Rs.446.09,,B2953A,03/07/2027,64,R5-S2,
465,VPH-00405,Folic Acid 5mg टॅब,Tab,Torrent Pharma,30049099,12,192.63,107.71,₹182.94,,B9383F,30/11/27,436,R7-S8,
466,VPH-00406,Antacid Gel 170ml,Liquid,ABBOTT,  30049099,12,1831.67,₹1311.76,1699.81,,B7007F,03/02/28,513,R6-S4,"Pack: Liquid, blister"
467,VPH-00407,Atorvastatin 10mg,Tab,Pfizer,  30049099,12,721.04,404.17,713.62,,B4252B,13-Dec-2027,186,R6-S4,
468,VPH-00408,Iron Folic Acid,Tab,TORRENT,30049099,12,₹1793.96,1227.17,1753.71,,B6885B,20/07/2026,216,R1-S5,
469,VPH-00409,ORS Sachet 21g,Sachet,Abbott India,30049099,5,₹849.92,583.31,800.79,,B5577D,12/02/27,210,R8-S5,
470,VPH-00410,Glucose D 100g,Sachet,CIPLA,21069099,18,439.41,₹287.96,423.92,,B7523B,30-Sep-2026,74,R3-S4,
471,VPH-00411,Glucose D 100g,Sachet,ABBOTT,21069099,18,1655.62,1257.05,1601.48,,B2142A,30/08/27,345,R8-S5,
472,VPH-00412,Glimepiride 1mg,Tab,TORRENT,30049099,12,962.24,548.84,905.42,,B3506A,19-Jun-2027,440,R6-S12,
473,VPH-00413,Antacid Gel 170ml,Liquid,Sun Pharma,30049099,12,1065.74,686.87,1042.01,,B1331E,18/08/26,26,R4-S2,
474,VPH-00414,Antacid Gel 170ml,Liquid,Lupin,30049099,12,1151.64,807.39,1117.13,,B4170B,24/06/2027,305,R2-S7,
475,VPH-00415,Antacid Gel 170ml,Liquid,Macleods Pharma,30049099,12,278.01,₹211.38,270.01,,B2191G,06/04/28,128,R3-S10,
476,VPH-00416,Glimepiride 1mg,Tab,TORRENT,30049099,12,1670.95,₹1134.63,1578.82,,B6844H,30/08/2027,6,R4-S1,
477,VPH-00417,Omeprazole 20mg,Cap,Torrent,30049099,12,1417.97,818.95,1306.76,,B6731H,10/05/2025,183,R5-S4,
478,VPH-00418,Vitamin B12 1500mcg,Tab,PFIZER,30049099  ,12,658.34,404.82,623.44,,B9099D,15/06/2026,383,R2-S3,"Pack: Tab, blister"
479,VPH-00418,Vitamin B12 1500mcg,Tab,PFIZER,30049099  ,12,658.34,31.93,38.51,,B2914A,14-Nov-2027,183,R1-S5,
480,VPH-00419,Ondansetron 4mg,Tab,Dr. Reddy's Labs,30049099  ,12,412.59,251.35,₹382.36,,B8576C,25/02/2027,277,R1-S7,
481,VPH-00420,Ibuprofen 400mg,Tab,MACLEODS,30049099,12,1352.07,1039.12,₹1307.15,,B1177D,14.11.2027,338,R8-S10,"Pack: Tab, blister"
482,VPH-00421,Glucose D 100g टॅब,Sachet,PFIZER,21069099  ,18,565.48,₹383.05,524.92,,B9949D,04/04/2028,483,R7-S11,
483,VPH-00422,Domperidone 10mg,Tab,cipla ,30049099,12,1136.90,761.98,1085.06,,B4356C,19/05/27,237,R3-S9,
484,VPH-00423,Amlodipine 5mg,Tab,DR REDDYS,  30049099,12,998.35,637.85,944.22,,B5768A,30/08/26,242,R8-S1,
485,VPH-00424,Pantoprazole 40mg,Tab,Abbott India,30049099,12,710.79,488.92,₹704.76,,B1014D,06/01/2027,475,R4-S4,
486,VPH-00425,Paracetamol 500mg,Tab,GSK Pharma,30049099,12,1805.74,1094.30,₹1777.38,,B3327F,31/03/2028,330,R4-S7,
487,VPH-00426,Ondansetron 4mg,Tab,Abbott,30049099  ,12,987.51,745.58,950.41,,B2748A,22/03/2027,578,R5-S4,
488,VPH-00427,Telmisartan 40mg,Tab,Cipla Ltd,30049099  ,12,705.16,₹524.79,666.09,,B5882A,11/06/25,205,R2-S4,"Pack: Tab, blister"
489,VPH-00428,Pantoprazole 40mg,Tab,Macleods,30049099  ,12,443.64,244.50,431.86,,B9274D,23-Oct-2027,417,R4-S11,
490,VPH-00428,Pantoprazole 40mg,Tab,Macleods,30049099  ,12,443.64,₹834.99,1157.33,,B6691D,10/11/2026,222,R5-S3,
491,VPH-00429,Iron Folic Acid,Tab,GLENMARK,30049099  ,12,116.28,74.96,115.64,,B7039D,17/07/2027,558,R3-S7,
492,VPH-00430,Aspirin 75mg,Tab,SANOFI,30049099,12,345.53,202.24,324.39,,B7534B,23-Sep-2027,205,R1-S4,"Pack: Tab, blister"
493,VPH-00431,Vitamin D3 60K,Sachet,Cipla Ltd,30049099  ,12,₹1625.83,925.86,1601.31,,B1528E,13.11.2026,329,R2-S10,
494,VPH-00432,Telmisartan 40mg,Tab,Abbott India,30049099  ,12,754.63,521.89,734.00,,B5392E,23-Oct-2026,331,R3-S9,
495,VPH-00433,Cetirizine 10mg,Tab,HIMALAYA,30049099  ,12,1159.21,856.85,1090.78,,B2122C,27.01.2028,216,R6-S8,
496,VPH-00434,Vitamin D3 60K,Sachet,Cipla,30049099,12,1528.95,1010.52,1492.68,,B8816C,04.10.2026,338,R7-S10,
497,VPH-00435,Loratadine 10mg,Tab,Pfizer India,30049099,12,108.36,63.13,103.34,,B9403C,04-Oct-2027,425,R4-S9,
498,VPH-00436,Telmisartan 40mg,Tab,Sanofi,30049099,12,1605.71,1084.67,1580.32,,B4427E,26/06/2026,377,R1-S3,
499,VPH-00437,Amlodipine 5mg,Tab,Macleods Pharma,30049099,12,1234.35,851.89,1161.42,,B4155A,18-Nov-2026,274,R3-S8,"Pack: Tab, blister"
500,VPH-00438,Paracetamol 500mg,Tab,LUPIN,30049099,12,469.43,292.06,465.61,,B4109F,06/10/2026,310,R3-S4,
501,VPH-00439,Vitamin B12 1500mcg,Tab,Cipla,30049099  ,12,1609.92,1170.25,1532.47,,B1708B,11/07/27,147,R5-S9,
502,VPH-00440,Domperidone 10mg,Tab,gsk,30049099,12,1726.74,₹1056.31,1721.02,,B4741D,05/10/26,117,R5-S5,
503,VPH-00441,Loratadine 10mg,Tab,Glenmark,30049099,12,916.00,522.12,898.32,,B7799H,01/10/27,456,R1-S2,
504,VPH-00442,Folic Acid 5mg,Tab,SANOFI,30049099,12,₹1603.19,1215.69,₹1598.54,,B2352G,23/06/25,541,R3-S10,
505,VPH-00443,Aspirin 75mg,Tab,CIPLA,30049099  ,12,649.97,459.09,610.56,,B3725H,22-Aug-2025,587,R8-S7,
506,VPH-00444,Ranitidine 150mg,Tab,SANOFI,30049099,12,745.65,₹498.46,728.58,,B6244E,16-May-2026,503,R2-S8,"Pack: Tab, blister"
507,VPH-00445,Pantoprazole 40mg,Tab,Sanofi India,30049099,12,₹231.20,172.26,₹216.50,,B3445F,01-Jan-2026,201,R2-S6,
508,VPH-00446,Cough Syrup 100ml,Syrup,ZYDUS,30049099,12,735.71,492.06,710.61,,B4655E,19/07/2026,581,R8-S6,
509,VPH-00447,Pantoprazole 40mg,Tab,Torrent Pharma,30049099,12,310.00,212.79,294.35,,B6131A,25.02.2027,13,R1-S4,
510,VPH-00448,Ranitidine 150mg,Tab,Zydus,30049099,12,₹1057.69,586.03,987.85,,B7452A,11.08.2027,101,R5-S9,
511,VPH-00449,Vitamin B12 1500mcg,Tab,MANKIND,30049099,12,194.65,Rs.137.37,187.58,,B6430D,12-Oct-2027,188,R5-S6,
512,VPH-00450,Metformin 500mg,Tab,Torrent Pharma,30049099,12,₹482.15,288.69,465.11,,B8803C,18-Jan-2028,539,R6-S7,
513,VPH-00450,Metformin 500mg,Tab,Torrent Pharma,30049099,12,₹482.15,1242.22,1804.26,,B3788H,19.01.2028,109,R3-S6,
514,VPH-00451,Cough Syrup 100ml,Syrup,Dr Reddys,30049099,12,1445.05,₹1096.17,₹1390.49,,B3352F,21-Oct-2026,25,R4-S4,
515,VPH-00452,Domperidone 10mg,Tab,GlaxoSmithKline,30049099,12,983.64,694.36,922.15,,B8249B,01-Jun-2027,151,R5-S6,
516,VPH-00453,Ibuprofen 400mg,Tab,GlaxoSmithKline,30049099  ,12,1368.90,1017.32,1332.75,,B9020H,04-Apr-2028,598,R1-S11,
517,VPH-00454,Amlodipine 5mg,Tab,GlaxoSmithKline,30049099  ,12,479.31,₹281.14,₹471.60,,B9752A,05.01.2026,341,R2-S5,
518,VPH-00455,Ibuprofen 400mg,Tab,Macleods,30049099,12,₹154.71,93.81,143.18,,B4054F,04/11/26,540,R5-S5,
519,VPH-00456,Cetirizine 10mg,Tab,Dr. Reddy's Labs,30049099,12,366.60,222.48,348.92,,B2502E,06/03/2028,544,R4-S9,
520,VPH-00457,Cough Syrup 100ml,Syrup,GSK Pharma,30049099,12,693.07,382.41,₹690.58,,B6760B,27-Aug-2027,234,R5-S10,
521,VPH-00458,Ranitidine 150mg,Tab,Macleods Pharma,30049099,12,803.10,526.38,797.42,,B2675E,30/08/2027,54,R5-S10,
522,VPH-00459,Vitamin D3 60K,Sachet,Dr Reddy's,30049099,12,1078.36,725.68,1064.58,,B5385E,17/07/2027,521,R5-S12,
523,VPH-00460,ORS Sachet 21g,Sachet,Sun Pharma Ltd,30049099,5,530.89,399.18,₹518.70,,B7150E,21.10.2027,164,R3-S6,
524,VPH-00461,Pantoprazole 40mg,Tab,DR REDDYS,  30049099,12,546.95,307.63,516.91,,B5991D,15/10/26,408,R3-S2,
525,VPH-00462,Multivitamin Syrup 200ml,Syrup,Himalaya,30049099,12,1144.08,₹707.65,1056.16,,B8414B,30-Dec-2027,262,R4-S4,
526,VPH-00463,Paracetamol 500mg,Tab,Torrent Pharma,30049099  ,12,1791.78,1101.06,1720.24,,B3577H,30.11.2025,354,R4-S11,
527,VPH-00464,Pantoprazole 40mg,Tab,Zydus,30049099  ,12,261.74,192.69,244.19,,B3904A,25/06/2025,18,R7-S2,
528,VPH-00465,Loratadine 10mg,Tab,cipla ,30049099,12,1804.92,1395.70,1769.77,,B8563D,04/11/2026,416,R3-S6,
529,VPH-00466,Ibuprofen 400mg,Tab,gsk,30049099,12,1515.08,₹1119.69,1411.56,,B7848F,21-Sep-2026,349,R8-S11,
530,VPH-00467,Atorvastatin 10mg,Tab,Torrent Pharma,30049099,12,1293.92,978.76,1262.50,,B4950G,14/11/26,424,R6-S7,"Pack: Tab, blister"
531,VPH-00467,Atorvastatin 10mg,Tab,Torrent Pharma,30049099,12,1293.92,302.77,426.39,,B9804C,31-Oct-2026,299,R7-S8,
532,VPH-00468,Metformin 500mg,Tab,SANOFI,30049099,12,₹729.89,403.09,678.12,,B7321E,10/12/2026,435,R1-S3,
533,VPH-00469,Multivitamin Syrup 200ml,Syrup,GSK,30049099  ,12,161.95,118.03,153.27,,B9258H,21/04/28,453,R8-S5,
534,VPH-00469,Multivitamin Syrup 200ml,Syrup,GSK,30049099  ,12,161.95,231.92,301.04,,B6876D,22.07.2026,171,R6-S1,
535,VPH-00470,Ondansetron 4mg,Tab,Lupin Ltd,30049099  ,12,1020.94,730.99,985.25,,B5927A,30-Mar-2028,260,R4-S11,
536,VPH-00471,Vitamin B12 1500mcg टॅब,Tab,MACLEODS,30049099  ,12,1095.87,Rs.775.88,1036.07,,B9095A,11/06/2026,105,R3-S10,
537,VPH-00472,Antacid Gel 170ml,Liquid,Dr Reddy's,30049099,12,₹642.74,438.15,601.40,,B9081E,28-Sep-2027,310,R5-S1,
538,VPH-00473,Cough Syrup 100ml,Syrup,GLENMARK,30049099  ,12,119.48,85.14,117.86,,B4564H,30.01.2028,56,R4-S11,
539,VPH-00474,Amlodipine 5mg,Tab,CIPLA,30049099,12,901.33,527.60,847.69,,B6003F,14.10.2026,131,R8-S8,
540,VPH-00475,Ondansetron 4mg,Tab,MANKIND,30049099,12,566.10,322.89,552.69,,B8714D,12/09/27,540,R8-S9,
541,VPH-00476,Paracetamol 500mg,Tab,Torrent Pharma,30049099,12,687.79,408.90,646.43,,B2055F,17/09/2027,435,R8-S2,
542,VPH-00477,Vitamin B12 1500mcg,Tab,CIPLA,30049099  ,12,₹1572.85,935.42,1531.01,,B7965G,11/11/27,170,R1-S2,
543,VPH-00478,Paracetamol 500mg,Tab,Torrent,30049099,12,595.19,352.37,552.03,,B3147D,13-Aug-2027,486,R3-S6,
544,VPH-00479,Amlodipine 5mg,Tab,GlaxoSmithKline,30049099  ,12,₹1284.17,₹919.24,1193.09,,B2588B,23-Jun-2025,212,R5-S6,
545,VPH-00480,Pantoprazole 40mg,Tab,Torrent Pharma,30049099,12,1118.77,641.58,₹1104.03,,B7838C,10/08/2027,246,R8-S2,
546,VPH-00481,Antacid Gel 170ml,Liquid,Dr Reddy's,30049099,12,₹1765.13,₹1296.86,₹1710.58,,B2118A,28/02/28,511,R5-S11,
547,VPH-00481,Antacid Gel 170ml,Liquid,Dr Reddy's,30049099,12,₹1765.13,931.78,₹1540.43,,B8889A,15-Oct-2026,272,R7-S9,
548,VPH-00482,Domperidone 10mg,Tab,Zydus,30049099,12,₹770.37,₹564.73,737.84,,B1923A,17/11/27,338,R3-S10,
